	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000047586.4	2408.9623691191546	7.38170382499243	0.1958626353742725	0.0	0.0
ENSMUSG00000054889.10	6835.30817812126	4.648156581100717	0.11501276576128733	0.0	0.0
ENSMUSG00000025608.9	4401.661075889572	8.303045274680287	0.1973792641874805	0.0	0.0
ENSMUSG00000097767.8	4106.774073748064	6.588422419180487	0.1514835148348258	0.0	0.0
ENSMUSG00000045545.8	4088.299792504293	9.112600240591592	0.23822678943825742	0.0	0.0
ENSMUSG00000000303.12	2782.226316028812	5.81896674906495	0.14304276719259784	0.0	0.0
ENSMUSG00000020758.15	6336.694195728023	4.25435562678268	0.11499699848599665	1.4286577033977566e-300	4.575990623983014e-297
ENSMUSG00000030693.10	1240.4720657917521	5.4602010502282985	0.1482786975955032	1.8681481146128646e-297	5.23571860971688e-294
ENSMUSG00000053797.10	2357.508572838408	7.968222252502065	0.2171529756085242	1.20415849809866e-294	2.9998264095411173e-291
ENSMUSG00000024406.16	2300.568554378573	4.47581919377103	0.12307480895777435	1.2734002432366364e-290	2.8550906853608625e-287
ENSMUSG00000037820.15	3906.5352727747786	4.018389442052646	0.1107177658818705	1.77306765909087e-289	3.613995453134218e-286
ENSMUSG00000047281.3	1063.7082353780897	5.2505096490134635	0.14957321454660003	1.242586360720084e-270	2.321669066142084e-267
ENSMUSG00000056602.12	1176.4946824275537	5.3817160129797585	0.15347565795477558	5.1108142820299984e-270	8.814582078261122e-267
ENSMUSG00000027375.14	3835.544859917248	5.753156250817865	0.1647034784144116	1.5903137934181145e-268	2.5468875401591107e-265
ENSMUSG00000037185.9	1422.681714106077	4.9830491853695795	0.14391509755344184	1.1372679209836977e-263	1.6999122704250325e-260
ENSMUSG00000026413.12	1670.2181373550309	5.499008372804508	0.1624151572369854	2.7076423410771286e-252	3.794253058080644e-249
ENSMUSG00000031995.9	1272.0777994381697	5.999369943667213	0.18012736728200798	6.104940698196782e-244	8.051698552604122e-241
ENSMUSG00000019102.10	4252.130804233276	3.753815487533134	0.11746407591006418	9.953169682658472e-225	1.2397778747493643e-221
ENSMUSG00000034282.3	1267.1913706112528	6.827155895630238	0.21643643141348384	1.1519518660094867e-218	1.3593638309367736e-215
ENSMUSG00000074796.10	890.9621477707559	4.267884113481306	0.1358897402536116	1.7356645548123554e-217	1.945766749172391e-214
ENSMUSG00000028435.8	1000.6019145176608	6.241462596263874	0.19980430661571064	1.6776095178643287e-214	1.7911277619064818e-211
ENSMUSG00000042793.13	993.596483876577	4.183604907773814	0.13513095509295414	1.8643944982658677e-211	1.900072229346319e-208
ENSMUSG00000049382.10	5899.38440276072	10.839543515832663	0.35187693264211944	9.385937460818716e-207	9.149656687348541e-204
ENSMUSG00000063450.14	2006.1648873542595	3.4492812998790043	0.11370931020431693	3.432324214524691e-203	3.206505883910754e-200
ENSMUSG00000022871.13	1099.821029686898	6.642775786645486	0.22138845896968495	4.045418131260087e-198	3.628092796839296e-195
